right_hand_thumb_0_joint,right_hand_thumb_1_joint,right_hand_thumb_2_joint,right_hand_index_0_joint,right_hand_index_1_joint,right_hand_middle_0_joint,right_hand_middle_1_joint
137.17291790819573,171.59409653374448,162.8293651287659,173.47028647843052,172.56321321676654,175.51943132154992,171.7637163609508
152.51916667138036,171.0360130701105,165.3139218571385,172.86856640556192,172.98455544460248,174.31986038786218,172.1754322587317
153.6083987027928,171.19747757869365,164.42985310828362,173.3569556271541,173.21600454040123,174.72296379504405,172.70378001879584
152.41400234139982,170.52636473061233,165.96775215300488,173.41942054358927,172.81810575569807,174.76476944554946,172.3217021795554
153.105837032751,170.94520345489502,165.5439427770537,173.64815696387893,172.78354857053995,174.90002693466622,172.48464221165165
152.21821577077097,170.27429197516264,165.84534377195595,173.2515011577559,172.51618156876572,174.27673508773069,172.2019583934976
152.6342413159429,170.78083106117109,167.20992543797536,173.60152476944094,172.96838582742407,174.90893698993779,172.38992488423602
152.67159789689646,170.73740482695075,167.09414091139388,173.50424979942585,172.85697157029801,174.6550113455296,172.55248472271188
153.53291416670544,170.8627045395997,167.08671190739457,173.79721763397484,172.91330889543067,174.87072607380094,172.6044795643438
153.3368123248666,170.74916650323067,166.63836775394373,173.88907657318208,172.89686027923125,174.89613860982263,172.86377228805063
153.11120541904683,170.85692136683844,167.089508755151,173.7930300235804,172.87978234731156,174.62874067469804,172.83498210053781
152.98725297710996,170.75792307419005,166.25760688118982,173.75345341433132,172.61552728562805,174.71506570209252,172.478121840653
152.84549317904188,171.54041850780033,166.15557874865846,174.21789858092816,172.72732436132577,174.4417480644496,172.75267404561873
152.7533221661178,172.8908530312974,164.3329304504749,174.6901734544229,172.7472890502435,173.88845050921464,172.9230678904575
152.19040112421817,173.97246684175852,162.56976080317972,174.7904733331655,172.6114479803437,172.77086676706108,172.50928248330644
153.0624280409751,174.75133021060392,163.1546049105476,174.67405973469153,172.83234609649537,172.29937953127782,172.76194155890445
155.05615995709906,171.3149714376043,170.95401783273164,174.99099746990908,172.95993819207857,172.83667108953313,172.89547588268584
154.48036363539583,168.52317484753763,175.0209433039092,174.4687969602387,172.3017938870485,173.67866019444108,169.44815860260633
152.56791835629326,169.1946361392228,176.5666944065556,173.3141749424908,171.35284512313305,173.611922346279,165.60128983563146
152.2418981856548,170.33661300796297,176.1070536484517,170.62500887988023,165.27751031680302,169.74951598549927,152.34567468121475
150.83162664171215,170.26275550803496,174.79473992436968,168.90220523290594,162.30448105948022,168.08908145452887,142.2192492398592
150.96249246191638,169.09028021989866,169.93461528638198,168.43335163128017,155.90013477375393,167.55875498326117,112.19022587199714
150.60492372749215,167.64221924105237,163.47323333779974,164.54102156007937,144.1422537507487,165.72075097514553,90.44795966225725
148.6250147583227,166.6448123962269,156.06406494589328,164.59079754236745,132.542715819468,168.24377439652037,69.84667113037278
146.0886288111469,167.24881187379046,155.8760983699203,164.99926825997392,94.01368592197795,170.36423916021596,66.09622693075372
145.25622466090155,163.35034591725935,152.52172744443064,166.89773456665978,44.35548533151067,173.17417121968634,48.613118175383136
148.67213030025974,165.20143291437756,155.70377097850235,167.5522202804874,33.985769132974454,171.84212705221154,36.90287647236486
148.4501310491732,164.37906712922367,156.3134183901676,166.23476131336935,27.28666210417648,170.90537690170908,32.027260221203
148.4473572615511,164.3259006494982,157.82696106416836,165.13900640440997,35.84253317601658,169.31088607087716,34.333865028029045
148.14435220977632,164.20814071141749,157.58151439202297,165.311027043315,35.688163382950194,169.49254636048957,34.14475392633185
147.87693935917753,163.62312135389806,157.0192470828035,165.41033176060498,29.61670444892479,169.53075991922242,32.88591333927955
148.9886967255043,163.09881150418508,155.8205675536016,165.01123241635688,27.175007588085876,169.31737248090081,33.55544449690227
149.71801250308812,164.01013668764838,158.24151823234598,165.09352671855117,29.72975984876544,168.90356636150898,34.755613183400854
150.02397404074205,164.31323959058233,155.89805836015026,166.1783293678792,29.060538991412173,170.54477973667787,34.217691179110616
145.65697472479408,160.57704156477826,144.50894063259997,166.05327834915192,27.854659934702998,172.75305107292135,38.212057826335055
147.082834488099,166.40177706425402,158.4636931981041,165.54788307766756,106.684175848042,169.97901381631226,62.24711362104766
149.11251598553037,166.52302811690367,173.73928385429517,167.10969254658835,160.23213567946786,167.15131232911412,142.08342653789174
149.5598747544232,164.18614491634094,174.7183571517865,173.94324818104343,172.48268118584178,175.13058320045133,168.46308287213765
147.00860225705333,166.9168233318409,171.94233769406716,174.62764650672085,174.11867801932272,178.41357942331143,172.95931985957097
149.94899552941928,170.5579756537148,169.51999628575504,173.37725292445737,172.7353782227731,175.61053111307206,172.27578354402976
151.20708646474387,172.50707830788448,165.76122375241997,172.72656471282437,172.7272326295659,174.54638714313774,173.02542611813527
150.3047664242691,172.44840844939813,164.32655798259606,172.42928142958476,172.26289904229918,173.3318989377491,172.79358650269387
149.92140096228354,173.20268838211175,163.12202719228202,172.83748527623737,172.45928222019643,173.23705014624193,172.99362891864268
151.32955032579326,172.73047946466002,164.31796420940043,172.81760283122117,172.60457823703604,173.11780646015808,173.6113358078843
150.7628420279202,172.3914778488487,165.14568729863595,172.73995084395582,172.3404603831728,172.90537966180267,173.2023594968118
151.29848065676202,172.4126057026703,164.66948414892252,172.869491382562,172.47906831306622,173.10932746930263,173.38855825863203
152.09775315855796,171.88213832634457,167.95572162033835,173.29049766054246,173.04995465703607,173.56377507259737,173.69681504463185
156.74114607247495,168.1273644451181,172.6867801023361,174.69874371471326,175.01680920157423,174.9511520600007,174.61738213723748
155.58966441566358,163.99604682163036,172.3278274019074,170.72659163198347,172.29036423284236,173.50749142687982,167.422493962388
148.25149300981326,164.97692324321184,158.93380739523238,165.68386134687393,125.22793970363679,168.87043178127132,62.87809676044575
150.27687222912164,167.21858254162996,154.67636266776137,168.23949898853766,28.14719258922199,169.12775428359163,31.565208550614752
149.23016150332276,164.2726826256674,155.4191169840176,168.7459311160303,14.925173184845875,163.07504563751533,28.798957105255354
147.82833462877275,160.85509959190284,155.80476408444792,167.60175480470951,16.32911057121596,154.90184019271595,30.50410782270793
147.88183363384283,158.81828312748937,153.24785573982228,168.56156381935523,12.533500560997936,152.46321684918286,29.505381011351165
147.96004614220791,158.1483099694472,153.71604841500516,168.2563381116299,12.069741059763382,149.65374771024355,30.90445433825282
147.92038166499867,156.82820684961544,151.6194924986431,168.79479852203514,12.314387127170228,145.72749926685555,33.60390525976325
145.89785529640247,156.10971178604586,151.20608672342843,168.28254409770653,12.565334746024579,144.34597826824694,33.458623549031586
144.2730075651571,156.1390658174307,150.43727208112304,168.5594259754323,12.651515367805468,142.21842793863084,34.94205456657119
145.83107516367622,156.018491483096,148.77947074617575,168.6566603706699,12.435694481635837,142.71570243765578,34.54628749684573
145.30010102598212,156.5041459760083,150.46766646383278,168.38984359747803,12.58548064481285,142.2828343749445,34.81302414852652
145.39530532237362,156.81937321765622,150.21526268600013,168.41798559694703,12.13904123473181,143.42072103175138,35.156578128760856
145.36605478861924,157.67298599654544,147.0343444909497,169.00683666233607,12.1275922832389,150.3706004555201,30.736018791897003
147.91058328109855,164.29681528107884,156.4823466161123,169.33312369675897,12.906720047797148,158.4156180920889,29.55833143998745
144.17455401628456,167.33819624882145,163.88638046274505,166.8913720114353,84.63536282246181,163.24854663441994,30.15238606911762
148.9541724693357,162.7020539234613,175.45571355535355,172.1584084945689,170.5117208367089,171.58644752009275,159.878239550912
144.4842485118478,167.07914964547192,170.7541176316857,175.45617281233982,173.46507871965576,176.9461752429212,170.3626271972406
150.0805422652107,169.56409748977615,167.45690323957433,175.0135324040612,173.58634724103678,179.13208311053347,172.45018518929595
151.93417664024383,170.6666379283431,165.85090306144102,175.07583595219748,173.4189421688339,177.82066759968907,173.16047294193862
152.33079067625576,171.5339905714904,163.66704914498786,174.861037534986,173.35390949916496,177.6802473410246,172.93804049155267
151.89641865186164,170.99215235248712,165.36294040033033,174.8353782318771,172.88419468310678,177.61792454021304,172.49955861865595
152.75818611637817,171.4957089800804,164.18845094298587,174.3858789947938,173.73000592638618,177.55148803667976,172.84927855559766
151.5001465527285,171.2528168029273,163.81461481969856,174.26564460212964,173.84113532865484,177.51749627809104,173.0393181480866
151.45054389812475,170.85743719027516,165.88805716736925,175.03524743897196,172.9860167133655,177.52468401223368,172.74802667262404
152.48617014506468,170.13833137944673,166.3864902519712,175.0204050294472,173.35783157609768,177.47785372458873,172.64727820174528
151.6116692855655,170.7398875575776,165.13776314993797,175.16471482234698,172.94409339093386,177.82665583137913,172.32228036235398
151.5067819653599,170.17987291437186,165.2069960327102,175.13526680364475,172.98183301128,177.98826343428948,172.87872357779855
151.46559656178462,170.54168950058295,165.7755735872399,175.00911861322157,173.11119058838148,177.84631860579188,172.78276936496098
151.74691791401108,170.25072836225277,166.08753677346374,174.98194118072828,173.1884905908926,177.84882454750806,172.86806519116612
151.4477643105702,170.09596956699374,167.0337301370637,174.83109272026184,173.13992314115583,177.62232410642164,172.5535461020105
151.89356240335795,169.89450001147654,164.7307918354953,174.48298012725127,173.37889342465627,177.88644235686803,173.11507708257332
151.15472428095765,170.67706723505611,164.40550703244503,174.2856742305666,173.65828956245988,177.78477204266545,172.68256976501033
150.98351561160544,170.18664311592255,165.02812792801913,174.38187580341233,173.06209290712758,177.7537007465299,172.41311010568796
150.8842651088114,170.04445831978902,165.32382598215557,174.47499046339146,173.38515292581968,177.810482609551,172.9329714613403
151.75758997154998,170.68151637555496,164.42919152345362,175.04229363753268,173.59945223033327,178.0506632530838,173.07740010746005
152.3005208599405,170.02768168477175,166.42723441503477,175.04646960232418,173.39927691424265,178.07180483999912,172.86830275399808
151.9242846896382,170.0843807338555,165.3454761130761,174.87476074824872,173.55160001062222,177.71031277033325,172.7471961335197
151.37067766982406,169.8189882050199,165.55630118526327,174.6287632272359,173.11345360291978,177.766705798744,172.57777850604958
151.1312246386099,169.9742812799023,165.34092766615012,174.62687666960923,173.18279719479574,177.651244018661,172.45581585039605
151.80369046304608,170.35194481242044,164.4679787193034,174.2704869584048,173.27320771220468,177.77683038456343,172.46904613160524
150.82473942415368,169.9618714414359,165.46071421152436,174.47800044261265,173.00091480983525,177.7604960712807,172.56323384490378
150.7290532849547,170.43143377892628,163.39223375893638,174.60659182708616,173.5028537905978,177.81636260891096,173.00101885903058
151.10859065946295,170.3097133600137,164.9371594725883,174.8159388066222,173.16897656955337,177.91568606878536,172.71409626686568
151.0621431188421,170.02127446770868,164.53497355120106,174.52415864038232,173.3025189240056,177.72685579985233,172.4893078577075
150.71611326514096,170.27981245057222,163.57173490577455,174.09414812451894,173.4536709507247,177.394936937935,172.49565413407544
150.78334926278842,170.43281036978226,163.5700323629986,174.10232692147736,173.43474816723068,177.57092549769186,172.60320246318082
150.629856236427,170.30640680785237,163.83882941810288,174.31044661130898,173.17442840708435,177.68258264222777,172.53262747721038
150.8841808853026,170.38411206095142,163.8499001943431,174.5236887286477,173.7064934871808,177.7840794823054,172.81795684304814
150.54918411768924,170.11397475021283,162.95546623720074,174.38539561331368,173.60180601400666,177.67149841353134,172.68047462759597
150.1389704284244,169.53418117555168,164.45895179432952,174.2861733621015,173.0767691154523,177.79489901886274,172.39786856263063
151.15255827045638,169.4536079937652,165.74397547171145,174.24318434707845,172.95176912080575,177.64935041534403,172.42176600834318
151.3939505997615,169.7249398755911,165.686218407847,174.38521399810543,172.85491963407102,177.40969443552206,172.62504870916666
